compound,flashpoint
5ethylidene2norbornene,37.85
"5H-Dibenz(b,f)azepine-5-carboxamide",202.4
"5H-Dibenzo(a,d)cycloheptene-5-carboxamide, 10,11-dihydro-",219.2
5hexen1ol,46.85
5hexen2one23oC,23
5methyl1hexanol340oC,61.8
5methyl2hexanone110123,36
5methyl3heptanone,42.85
5nonanone,59.85
6amino1hexanol117oC,117
6-aminohexanamide,141.2
6methyl1octanol87oC,87
6methyl3heptanone45oC,45
"6-Nonenamide, 8-methyl-N-vanillyl-, (E)- (8CI)",263.1
6undecanone,87.85
7methyl1octene18oC,18
8methyl1nonanol104oC,104
8methyl1nonene43oC,43
910anthracenedione185oC,185
915octadecadienoicAcid194oC,197
9decen1ol,118.85
9Hfluorene133oC,133
"9-Octadecenamide, N,N-bis(2-hydroxyethyl)-, (9Z)-",271.7
9octadecenoicAcid189oC,189
Acenaphthalene118oC,118
Acetaldehyde75070,-27
Acetaldoxime,35.85
"Acetamide, 2-((1,2-dihydro-5,6,17,19,21-pentahydroxy-23-methoxy-2,4,12",514.7
"Acetamide, 2-(2,4-dichlorophenoxy)-",196.9
"Acetamide, 2-(diethylamino)-N-(2,6-dimethylphenyl)-",166
"Acetamide, 2,2'-((2-hydroxyethyl)imino)bis(N-(alpha,alpha-dimethylphen",335.1
"Acetamide, 2,2-dichloro-",104.3
"Acetamide, 2,2-dichloro-N-(2-hydroxy-1-(hydroxymethyl)-2-(4-nitropheny",343.8
"Acetamide, 2,2-dichloro-N-(2-hydroxyethyl)-N-(p-(methylsulfonyl)benzyl",281.5
"Acetamide, 2,2-dichloro-N-(2-hydroxyethyl)-N-(p-(p-nitrophenoxy)benzyl",286.6
"Acetamide, 2-chloro-",108.6
"Acetamide, 2-chloro-N-(1-methylethyl)-N-phenyl-",129.4
"Acetamide, 2-chloro-N-(2,6-diethylphenyl)-",177.1
"Acetamide, 2-chloro-N-(2-ethyl-6-methylphenyl)-N-(2-methoxy-1-methylet",359.6
