,compound,flashpoint,pure substance,smiles,source
2837,Trimethyl(vinyloxy)silane,263.15,1.0,C[Si](OC=C)(C)C,chen14
2838,Trichloro(3-cyanopropyl) Silane,365.15,1.0,Cl[Si](CCCC#N)(Cl)Cl,chen14
2839,Trichloro(2-phenylethyl)silane,364.15,1.0,Cl[Si](CCC1=CC=CC=C1)(Cl)Cl,chen14
2840,"Chlorodimethyl(3,3,3-trifluoropropyl) silane",293.15,1.0,Cl[Si](CCC(F)(F)F)(C)C,chen14
2841,Vinylmethylbis (trimethylsiloxy) silane,324.15,1.0,C(=C)C[SiH](O[Si](C)(C)C)O[Si](C)(C)C,chen14
2842,Trichloro(Chloromethyl) silane,342.15,1.0,Cl[Si](CCl)(Cl)Cl,chen14
2843,Dimethyl(pentafluorophenyl) silane,313.15,1.0,C[SiH](C1=C(C(=C(C(=C1F)F)F)F)F)C,chen14
2844,Trichloro(p-chlorophenyl)silane,397.05,1.0,Cl[Si](C1=CC=C(C=C1)Cl)(Cl)Cl,chen14
2845,Trisilane,273.15,1.0,[SiH3][SiH2][SiH3],chen14
2846,Trichlorononylsilane,387.15,1.0,ClC(CCCCCCCC[SiH3])(Cl)Cl,chen14
2847,Dichloroethylsilane,263.75,1.0,ClC(C[SiH3])Cl,chen14
2848,Trichloro(dichlorophenyl)silane,419.15,1.0,Cl[Si](C1=C(C(=CC=C1)Cl)Cl)(Cl)Cl,chen14
2849,Tris(trimethylsilyl)silane,328.15,1.0,C[Si](C)(C)[SiH]([Si](C)(C)C)[Si](C)(C)C,chen14
2850,Tris(trimethylsiloxy)silane,323.15,1.0,C[Si](O[SiH](O[Si](C)(C)C)O[Si](C)(C)C)(C)C,chen14
2851,Hexadecyltrichlorosilane,427.15,1.0,C(CCCCCCCCCCCCCCC)[Si](Cl)(Cl)Cl,chen14
2852,Dichlorosilane,236.15,1.0,Cl[SiH2]Cl,chen14
2853,Dimethyldichlorosilane,257.15,1.0,C[Si](Cl)(Cl)C,chen14
2854,Bromomethyldimethylchlorosilane,314.15,1.0,BrC[Si](Cl)(C)C,chen14
2855,Trimethylsilane,204.15,1.0,C[SiH](C)C,chen14
2856,Dimethylvinylchlorosilane,268.15,1.0,CC(=C[SiH2]Cl)C,chen14
2857,"1,3-Dichlorotetramethyldisiloxane",288.15,1.0,Cl[Si](O[Si](Cl)(C)C)(C)C,chen14
2858,"1,1,3,3-Tetramethyldisiloxane",251.15,1.0,C[SiH](O[SiH](C)C)C,chen14
2859,Tetramethyldisilazane,284.15,1.0,CN([Si](C)(C)C)[SiH3],chen14
2860,Allyl Dimethylchlorosilane,278.15,1.0,C(C=C)[Si](Cl)(C)C,chen14
2861,sec-Amyltrichlorosilane,303.15,1.0,C(C)(CCC)[Si](Cl)(Cl)Cl,chen14
2862,n-Butylmethyldichlorosilane,303.15,1.0,C(CCC)[Si](Cl)(Cl)C,chen14
2863,Bis(dimethylamino)methylsilane,270.15,1.0,CN(C)C(N(C)C)[SiH3],chen14
2864,Phenyltrichlorosilane,364.15,1.0,C1(=CC=CC=C1)[Si](Cl)(Cl)Cl,chen14
2865,Phenyl trifluorosilane,268.15,1.0,C1(=CC=CC=C1)[Si](F)(F)F,chen14
2866,Dimethyldiacetoxysilane,310.15,1.0,C[Si](OC(C)=O)(OC(C)=O)C,chen14
2867,1-Trimethylsilylpropyne,270.15,1.0,C[Si](C#CC)(C)C,chen14
2868,Vinyldimethylethoxysilane,277.15,1.0,C(=C)[Si](OCC)(C)C,chen14
2869,Allyloxytrimethylsilane,273.15,1.0,C(C=C)O[Si](C)(C)C,chen14
2870,Allyltrimethoxysilane,319.15,1.0,C(C=C)[Si](OC)(OC)OC,chen14
2871,3-Chloropropyltrimethoxysilane,348.15,1.0,ClCCC[Si](OC)(OC)OC,chen14
2872,n-Propyltrimethoxysilane,298.15,1.0,C(CC)[Si](OC)(OC)OC,chen14
2873,Hexamethyldisiloxane,270.15,1.0,C[Si](O[Si](C)(C)C)(C)C,chen14
2874,Hexamethyldisilane,272.15,1.0,C[Si]([Si](C)(C)C)(C)C,chen14
2875,Vinyldiethylmethylsilane,288.15,1.0,C(=C)[Si](C)(CC)CC,chen14
2876,Isobutyltrimethoxysilane,315.15,1.0,C(C(C)C)[Si](OC)(OC)OC,chen14
2877,Phenyldimethylchlorosilane,334.15,1.0,C1(=CC=CC=C1)[Si](Cl)(C)C,chen14
2878,"(N,N-Dimethylamino)triethylsilane",299.15,1.0,CN(C)[Si](CC)(CC)CC,chen14
2879,Vinyltriacetoxysilane,361.15,1.0,C(=C)[Si](OC(C)=O)(OC(C)=O)OC(C)=O,chen14
2880,Ethyltriacetoxysilane,377.15,1.0,C(C)[Si](OC(C)=O)(OC(C)=O)OC(C)=O,chen14
2881,3-(Trimethylsilyl)cyclopentene,299.15,1.0,C[Si](C1C=CCC1)(C)C,chen14
2882,Vinyltriethylsilane,298.15,1.0,C(=C)[Si](CC)(CC)CC,chen14
2883,n-Octylsilane,309.15,1.0,C(CCCCCCC)[SiH3],chen14
2884,Methyl phenyldimethoxysilane,349.15,1.0,C[Si](OC)(OC)C1=CC=CC=C1,chen14
2885,2-Cyanoethyltriethoxysilane,359.15,1.0,C(#N)CC[Si](OCC)(OCC)OCC,chen14
2886,3-Glycidoxypropyltrimethoxysilane,383.15,1.0,C(C1CO1)OCCC[Si](OC)(OC)OC,chen14
2887,Di-t-butylmethylchlorosilane,342.15,1.0,C(C)(C)(C)[Si](Cl)(C)C(C)(C)C,chen14
2888,Tri-n-propylchlorosilane,349.15,1.0,C(CC)[Si](Cl)(CCC)CCC,chen14
2889,(Diisopropylamino)trimethylsilane,301.15,1.0,C(C)(C)N(C(C)C)[Si](C)(C)C,chen14
2890,1-Chlorononamethyltetrasiloxane,347.15,1.0,Cl[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C,chen14
2891,Tristrimethylsiloxymethylsilane,336.15,1.0,C[Si](OC(O[Si](C)(C)C)(O[Si](C)(C)C)[SiH3])(C)C,chen14
2892,Diphenylmethylsilane,393.15,1.0,C1(=CC=CC=C1)C(C1=CC=CC=C1)[SiH3],chen14
2893,Trimethyl[(1-methylethenyl)oxy]silane,272.15,1.0,C[Si](OC(=C)C)(C)C,chen14
2894,"Dichloromethyl-3,3,3-trifluoropropylsilane",288.15,1.0,ClC(Cl)[SiH2]CCC(F)(F)F,chen14
2895,[2-(chloromethoxy)ethyl]trimethylsilane,319.15,1.0,ClCOCC[Si](C)(C)C,chen14
2896,Iodotrimethylsilane,288.15,1.0,I[Si](C)(C)C,chen14
2897,Triphenylsilane,416.35,1.0,C1(=CC=CC=C1)[SiH](C1=CC=CC=C1)C1=CC=CC=C1,chen14
2898,[3-(mercapto)propyl]triethoxysilane,360.93,1.0,SCCC[Si](OCC)(OCC)OCC,chen14
2899,Hexadecamethylheptasiloxane,406.15,1.0,C[Si](O[Si](O[Si](O[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C,chen14
2900,Gamma-aminopropylethoxysilane,369.26,1.0,NCCC[SiH2]OCC,chen14
2901,Dichlorodiethylsilane,297.15,1.0,Cl[Si](CC)(CC)Cl,chen14
2902,Dimethylchlorosilane,245.15,1.0,C[SiH](Cl)C,chen14
