compound,flashpoint,pure substance,smiles,source
Tetrakisdimethylsiloxysilane,340.15,1,C[SiH](O[Si](O[SiH](C)C)(O[SiH](C)C)O[SiH](C)C)C,chen14
p-Chlorophenyltrimethylsilane,322.15,1,ClC1=CC=C(C=C1)[Si](C)(C)C,chen14
Phenyltrimethoxysilane,358.15,1,C1(=CC=CC=C1)[Si](OC)(OC)OC,chen14
Trimethylphenylsilane,313.15,1,C[Si](C1=CC=CC=C1)(C)C,chen14
Cyclohexylmethyldimethoxysilane,343.15,1,C1(CCCCC1)C[SiH](OC)OC,chen14
Hexyltrimethoxysilane,335.15,1,C(CCCCC)[Si](OC)(OC)OC,chen14
Triisopropylsilane,310.15,1,C(C)(C)[SiH](C(C)C)C(C)C,chen14
Tri-n-propylsilane,316.15,1,C(CC)[SiH](CCC)CCC,chen14
Propyltris(dimethylsiloxy)silane,323.15,1,C(CC)[Si](O[SiH](C)C)(O[SiH](C)C)O[SiH](C)C,chen14
Benzyltrimethylsilane,335.15,1,C(C1=CC=CC=C1)[Si](C)(C)C,chen14
3-Methacryloxypropyltrimethoxysilane,365.15,1,C(C(=C)C)(=O)OCCC[Si](OC)(OC)OC,chen14
1-Heptynyltrimethylsilane,315.15,1,C(#CCCCCC)[Si](C)(C)C,chen14
n-Octyldimethylchlorosilane,370.15,1,C(CCCCCCC)[Si](Cl)(C)C,chen14
Bis(diethylamino)dimethylsilane,308.15,1,C(C)N(CC)[Si](C)(C)N(CC)CC,chen14
Decamethyltetrasiloxane,335.15,1,C[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C,chen14
Decamethylcyclopentasiloxane,350.15,1,C[Si]1(O[Si](O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)(C)C)C,chen14
"2-(3,4-epoxycyclohexyl)ethyltrimethoxysilane",419.15,1,C1(CC2C(CC1)O2)CC[Si](OC)(OC)OC,chen14
n-Decylmethyldichlorosilane,393.15,1,C(CCCCCCCCC)[Si](Cl)(Cl)C,chen14
Vinyltriethylsilane,318.15,1,C(=C)[Si](CC)(CC)CC,chen14
Diphenyldichlorosilane,415.15,1,C1(=CC=CC=C1)[Si](Cl)(Cl)C1=CC=CC=C1,chen14
Phenyltriethoxysilane,393.15,1,C1(=CC=CC=C1)[Si](OCC)(OCC)OCC,chen14
Diphenylsilane,371.15,1,C1(=CC=CC=C1)[SiH2]C1=CC=CC=C1,chen14
"2,4,6,8-Tetravinyl-2,4,6,8-tetramethylcyclotetrasiloxane",385.15,1,C(=C)[Si]1(O[Si](O[Si](O[Si](O1)(C)C=C)(C)C=C)(C)C=C)C,chen14
n-Dodecyltrichlorosilane,435.15,1,C(CCCCCCCCCCC)[Si](Cl)(Cl)Cl,chen14
Tetra-n-propoxysilane,368.15,1,C(CC)O[Si](OCCC)(OCCC)OCCC,chen14
Hexaethyldisiloxane,349.15,1,C(C)[Si](O[Si](CC)(CC)CC)(CC)CC,chen14
Dodecamethylpentasiloxane,352.15,1,C[Si](O[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C)(C)C,chen14
Dodecamethylcyclohexasiloxane,366.15,1,C[Si]1(O[Si](O[Si](O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)(C)C)(C)C)C,chen14
Methyldiphenylchlorosilane,411.15,1,C[Si](Cl)(C1=CC=CC=C1)C1=CC=CC=C1,chen14
n-Dodecylmethyldichlorosilane,416.15,1,C(CCCCCCCCCCC)[Si](Cl)(Cl)C,chen14
Diphenyldimethoxysilane,394.15,1,C1(=CC=CC=C1)[Si](OC)(OC)C1=CC=CC=C1,chen14
